,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1,1.0,1.0407407407407407,1.1095238095238096,1.0518945634266885,1.1320191158900836,,,,,,,,,,,,,,,
2,1.0076726342710998,1.0780669144981412,1.0604395604395604,1.1907894736842106,,,,,,,,,,,,,,,,
3,1.0,1.0466760961810466,1.0937818552497451,1.1392143349414197,1.1085227272727274,,,,,,,,,,,,,,,
4,1.0,1.0779411764705882,1.0581180811808117,,,,,,,,,,,,,,,,,
5,1.0,1.073019801980198,1.0880077369439072,1.1389830508474577,,,,,,,,,,,,,,,,
6,1.0236406619385343,1.0238611713665944,1.0261651676206052,,,,,,,,,,,,,,,,,
7,1.0130718954248366,1.0617551462621886,1.0724962630792227,,,,,,,,,,,,,,,,,
8,1.0,1.0246020260492041,1.0738255033557047,1.0909090909090908,,,,,,,,,,,,,,,,
9,1.0,1.0188976377952756,1.1466535433070866,,,,,,,,,,,,,,,,,
10,1.036117381489842,1.0302267002518892,1.1087314662273475,,,,,,,,,,,,,,,,,
11,1.0,1.0107719928186714,1.0443722943722944,1.1142638036809815,1.1383874849578821,,,,,,,,,,,,,,,
12,1.0067340067340067,1.0243531202435312,1.038,1.0863309352517985,,,,,,,,,,,,,,,,
13,1.0,1.0116618075801749,1.0214132762312633,1.0598006644518272,,,,,,,,,,,,,,,,
14,1.0,1.0595382746051032,1.048932384341637,,,,,,,,,,,,,,,,,
15,1.5404255319148936,1.1927374301675977,1.1728515625,1.1479028697571745,,,,,,,,,,,,,,,,
16,1.0629139072847682,1.0835820895522388,1.0387596899224807,1.117737003058104,,,,,,,,,,,,,,,,
17,1.0030395136778116,1.023021582733813,1.0755760368663594,,,,,,,,,,,,,,,,,
18,1.009501187648456,1.0510344827586207,,,,,,,,,,,,,,,,,,
19,1.0,1.0819672131147542,1.1817073170731707,,,,,,,,,,,,,,,,,
20,1.0115606936416186,1.1270053475935828,1.1012323943661972,,,,,,,,,,,,,,,,,
21,1.0277777777777777,1.0152439024390243,1.010110294117647,1.024,,,,,,,,,,,,,,,,
22,1.0,1.01628664495114,1.017877094972067,1.0276872964169381,1.0287942411517697,1.0329387545033453,,,,,,,,,,,,,,
23,1.0,1.0692090395480225,1.141315014720314,1.1444527177959791,1.1367837338262476,,,,,,,,,,,,,,,
24,1.0656167979002624,1.0593869731800767,1.1062146892655367,,,,,,,,,,,,,,,,,
25,1.0105263157894737,1.0682730923694779,1.059396299902629,,,,,,,,,,,,,,,,,
