,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
empty-32-32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
random-32-32-20,1,1,1,0.96,0.96,0.96,0.92,0.84,0.92,0.88,0.84,0.76,0.8,0.76,0.84,0.68,0.72,0.64,0.68,0.64
room-64-64-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
warehouse-10-20-10-2-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
den520d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
