,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
empty-32-32,1,1,1,1,1,1,1,1,1,1,1,0.92,0.76,0.76,0.36,0.12,0.12,0,0,0
random-32-32-20,1,1,1,1,1,0.96,0.8,0.4,0.12,0.04,0,0,0,0,0,0,0,0,0,0
room-64-64-8,1,1,0.96,0.52,0.2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warehouse-10-20-10-2-2,1,1,1,1,1,1,1,1,1,1,1,1,0.96,0.92,0.92,0.84,0.84,0.68,0.48,0.44
den520d,1,1,1,1,1,1,1,0.96,0.96,0.88,0.92,0.8,0.84,0.72,0.68,0.6,0.44,0.4,0.32,0.28
