,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0025062656641603,1.0025062656641603,1.005012531328321,1.005012531328321,1.005012531328321,1.005012531328321,1.0075187969924813,1.0025062656641603,1.005012531328321,1.005012531328321,1.0075187969924813,1.005012531328321,,
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0027027027027027,1.0054054054054054,,1.0027027027027027,1.0027027027027027,1.0051150895140666,,1.010230179028133,1.0076726342710998,1.010230179028133,,,
3,1.0,1.0,1.0,1.0,1.0,1.0026737967914439,1.0,1.0026737967914439,1.0053475935828877,1.0053475935828877,1.0,1.0053475935828877,1.0,,,1.0053475935828877,,,,
4,1.0,1.0,1.0,1.0028901734104045,1.0,1.0057803468208093,1.0028901734104045,1.0028901734104045,1.0028901734104045,1.0028901734104045,1.0057803468208093,1.0057803468208093,1.0028901734104045,1.0,1.0,1.0,1.0,1.073972602739726,1.0,1.0133333333333334
5,1.0,1.0036101083032491,1.0030211480362539,1.0,1.0030211480362539,1.0030211480362539,1.0,1.0030211480362539,1.0030211480362539,1.0,1.0,1.0688705234159779,1.0,1.0,1.0,1.0,1.0,1.002754820936639,1.0,1.002754820936639
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002932551319648,1.0,1.002932551319648,1.0,1.002932551319648,1.002932551319648,1.0,1.0,,1.0779944289693593,,
7,1.0,1.0,1.0,1.0,1.0,1.0025125628140703,1.0025125628140703,1.0025125628140703,1.0025125628140703,1.0050251256281406,1.0050251256281406,1.0050251256281406,1.0050251256281406,1.0050251256281406,1.0050251256281406,1.0050251256281406,1.0075376884422111,1.0050251256281406,,
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.063013698630137,1.03475935828877,,,,,,,,,
9,1.0,1.0,0.9970149253731343,0.9970149253731343,0.9970149253731343,0.9970149253731343,0.9970149253731343,0.9970149253731343,0.9970149253731343,1.0,1.002754820936639,1.0055096418732783,1.0,1.0,1.0,1.0054945054945055,0.9972602739726028,0.9972602739726028,1.0027397260273974,1.0
10,1.0,0.9969230769230769,1.0030487804878048,1.0060975609756098,1.079268292682927,1.0091463414634145,1.0152439024390243,1.0152439024390243,1.0152439024390243,1.0152439024390243,1.0182926829268293,1.0152439024390243,1.079268292682927,1.008695652173913,,,,,,
11,1.0059880239520957,1.0,1.0,1.0,0.9972451790633609,1.0,0.9974424552429667,0.9974424552429667,0.9974424552429667,0.9974424552429667,0.9974424552429667,,,,,,,,,
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0022727272727272,1.0,1.0045454545454546,1.0022727272727272,1.0045454545454546,1.0022727272727272,1.0,,,,1.0
13,1.0,1.0,1.0036101083032491,1.0036101083032491,1.0036101083032491,1.0051150895140666,1.0025445292620865,,,,,,,,,,,,,
14,1.0,1.0,1.0033444816053512,1.0033444816053512,1.0033444816053512,1.0033444816053512,0.997229916897507,0.9944598337950139,0.9944598337950139,0.9944598337950139,0.9944598337950139,1.002770083102493,1.0,1.0,,,,,,
15,1.0,1.0,1.0,0.9973118279569892,0.9973118279569892,0.9973118279569892,0.9973118279569892,0.9973118279569892,0.9973118279569892,,1.0027027027027027,1.0027027027027027,1.0027027027027027,,1.0027027027027027,,,,,
16,1.0,1.0,0.9969135802469136,1.0,1.100271002710027,1.094850948509485,1.0943396226415094,1.102981029810298,1.0975609756097562,1.102981029810298,1.100271002710027,,1.0970350404312668,,1.08,,,,,
17,1.0,1.0028901734104045,1.0028328611898016,1.0,1.0,0.9943661971830986,1.0,1.0,0.9971830985915493,0.9943661971830986,1.0,1.0,0.9971830985915493,1.0,1.0023980815347722,1.0023980815347722,,,1.0047961630695443,
18,1.0,1.0,1.0,1.0,1.0336787564766838,1.0,1.0,1.0025906735751295,1.0025906735751295,1.0025906735751295,,1.0,1.0025906735751295,1.0,,,,,,
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0054347826086956,1.0054347826086956,1.0081521739130435,1.0026954177897573,1.005390835579515,0.9973045822102425,1.0,,
20,1.0,1.0,1.0,1.0,0.9971830985915493,1.0084985835694051,1.0056657223796035,1.0056657223796035,1.0,1.0028169014084507,1.0056338028169014,1.0028169014084507,1.0056338028169014,1.0056338028169014,1.0028169014084507,1.0056338028169014,1.008450704225352,1.008450704225352,1.0056338028169014,1.008450704225352
21,1.0,1.0029761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0052910052910053,1.0,1.0025773195876289,1.0103092783505154,1.0,1.0077319587628866,,,,,
22,1.0,1.003787878787879,1.0075187969924813,1.0,1.0030674846625767,1.0337423312883436,1.0,1.0030674846625767,1.0,1.0030674846625767,1.0,1.0,1.0,1.0052083333333333,1.0,1.0052083333333333,1.005181347150259,,1.005181347150259,1.0130208333333333
23,1.0,1.0,1.0,1.0,1.0,0.9972972972972973,0.9972972972972973,0.9972972972972973,0.9972972972972973,0.9972972972972973,1.0,1.172972972972973,1.1675675675675676,1.1612903225806452,1.1756756756756757,1.172972972972973,1.172972972972973,1.1675675675675676,1.1675675675675676,1.1675675675675676
24,1.0,1.0034843205574913,1.0,1.0,1.0,1.002824858757062,1.002824858757062,1.002824858757062,1.0056497175141244,1.002824858757062,1.076056338028169,,,1.0812324929971988,,,,,,
